Sample 485: No. iterations = 10, Error = 0.179071
Sample 486: No. iterations = 10, Error = 0.490297
Sample 487: No. iterations = 10, Error = 0.455513
Sample 488: No. iterations = 10, Error = 0.398579
Sample 489: No. iterations = 10, Error = 0.456353
Sample 490: No. iterations = 10, Error = 0.325411
Sample 491: No. iterations = 10, Error = 0.408244
Sample 492: No. iterations = 10, Error = 0.314334
Sample 493: No. iterations = 10, Error = 0.163472
Sample 494: No. iterations = 10, Error = 0.362948
Sample 495: No. iterations = 10, Error = 0.464187
Sample 496: No. iterations = 10, Error = 0.462749
Sample 497: No. iterations = 10, Error = 0.483228
Sample 498: No. iterations = 10, Error = 0.408055
Sample 499: No. iterations = 10, Error = 0.302828
Sample 500: No. iterations = 10, Error = 0.418618
